thread, ops, rss
1, 17668435, 7704
2, 13560417, 10367
4, 29829361, 12073
8, 49677821, 22477
16, 93528786, 13240
24, 142659211, 20387
32, 183091459, 48774
40, 211755321, 42547
48, 218908079, 89122
1, 17831415, 6938
2, 18255583, 9760
4, 26982006, 11861
8, 47580681, 12121
16, 91069827, 33470
24, 140331606, 9900
32, 174652764, 17122
40, 215799034, 49729
48, 217788528, 67313
1, 17758987, 8995
2, 15389603, 8398
4, 26181555, 11876
8, 46711974, 18276
16, 80018262, 13104
24, 149410873, 40343
32, 177625765, 22730
40, 208027289, 16223
48, 217644757, 68268
