thread,ops,allocator
1,20010661,je
2,34327002,je
4,62981398,je
6,86840166,je
10,126952510,je
16,166778869,je
20,206720025,je
24,208947572,je
32,225012534,je
40,242686032,je
48,336666145,je
62,437892665,je
72,446856333,je
80,395544112,je
84,403886803,je
88,397231020,je
1,19988392,je
2,35746399,je
4,65236121,je
6,77719868,je
10,124901270,je
16,170144894,je
20,200597832,je
24,208501896,je
32,226378903,je
40,245494129,je
48,341792362,je
62,436378000,je
72,454152583,je
80,394379453,je
84,399922422,je
88,396557964,je
1,19958913,je
2,37709464,je
4,61278836,je
6,78871104,je
10,131184950,je
16,168424265,je
20,195756688,je
24,209378690,je
32,222720918,je
40,245844007,je
48,335559096,je
62,433383896,je
72,447987291,je
80,397106984,je
84,398010222,je
88,396309626,je
