thread,ops,allocator
1,24888323,lr
2,16311601,lr
4,33375515,lr
6,65087734,lr
10,96499189,lr
16,156721772,lr
20,180607424,lr
24,199283382,lr
32,251557710,lr
40,287501012,lr
48,274641939,lr
60,332891864,lr
72,297986091,lr
80,292800409,lr
84,340388149,lr
88,367273605,lr
1,24908266,lr
2,18973568,lr
4,52073031,lr
6,53951039,lr
10,106476688,lr
16,144293648,lr
20,171254528,lr
24,206353454,lr
32,260980325,lr
40,264435814,lr
48,317973984,lr
60,295045065,lr
72,289947844,lr
80,295504355,lr
84,386426771,lr
88,474862005,lr
1,25047597,lr
2,21522370,lr
4,34626600,lr
6,58121245,lr
10,88258614,lr
16,156608549,lr
20,179325976,lr
24,209868588,lr
32,233488738,lr
40,275453225,lr
48,322246313,lr
60,369572468,lr
72,417277705,lr
80,369542519,lr
84,362525735,lr
88,392538594,lr
