thread,ops,allocator
1,12468908,mak
2,17782191,mak
4,24851989,mak
6,26445958,mak
10,26385031,mak
16,24273503,mak
20,24877467,mak
24,24130617,mak
32,23447950,mak
40,21945255,mak
48,16200837,mak
62,13342310,mak
72,13076681,mak
80,12736996,mak
84,13139069,mak
88,12528463,mak
1,12539943,mak
2,17992936,mak
4,25055521,mak
6,26675052,mak
10,26214201,mak
16,24347249,mak
20,24324700,mak
24,24320839,mak
32,23606197,mak
40,21835788,mak
48,16094353,mak
62,13375831,mak
72,13232660,mak
80,12874715,mak
84,12721432,mak
88,12858469,mak
1,12525780,mak
2,17810561,mak
4,24227637,mak
6,26868085,mak
10,26229480,mak
16,24087492,mak
20,23938001,mak
24,24229042,mak
32,23789298,mak
40,22132014,mak
48,16186242,mak
62,13389643,mak
72,13210364,mak
80,12769708,mak
84,13006049,mak
88,12742419,mak
