thread,ops,allocator
1,557532,pmdk
2,970182,pmdk
4,1845216,pmdk
6,2872501,pmdk
10,4499154,pmdk
16,6545395,pmdk
20,7580189,pmdk
24,8605804,pmdk
32,9529674,pmdk
40,9446700,pmdk
48,11295007,pmdk
60,10912332,pmdk
72,10602827,pmdk
80,12029902,pmdk
84,11093597,pmdk
88,10554241,pmdk
1,557202,pmdk
2,945161,pmdk
4,1870787,pmdk
6,2838252,pmdk
10,4343797,pmdk
16,6506588,pmdk
20,7914005,pmdk
24,8676149,pmdk
32,9939372,pmdk
40,9914898,pmdk
48,11670890,pmdk
60,11546231,pmdk
72,12631840,pmdk
80,11562306,pmdk
84,10757669,pmdk
88,11121964,pmdk
1,553742,pmdk
2,958704,pmdk
4,1833492,pmdk
6,2720692,pmdk
10,4332678,pmdk
16,6216157,pmdk
20,7492940,pmdk
24,8491831,pmdk
32,9878186,pmdk
40,10620756,pmdk
48,11092451,pmdk
60,11876447,pmdk
72,11789817,pmdk
80,11095728,pmdk
84,10776292,pmdk
88,10076143,pmdk
