thread,ops,allocator
1,20531643,r
2,32675306,r
4,64401405,r
6,77494817,r
10,132581654,r
16,173486527,r
20,202879711,r
24,218549739,r
32,242983908,r
40,271502135,r
48,354153158,r
60,452789661,r
72,492039665,r
80,508651170,r
84,509121120,r
88,516004280,r
1,20507754,r
2,35850991,r
4,62026966,r
6,86014893,r
10,125983926,r
16,170674799,r
20,212251184,r
24,214556388,r
32,243003735,r
40,273590211,r
48,356538030,r
60,443790897,r
72,485523950,r
80,510209882,r
84,504452445,r
88,514702672,r
1,20483351,r
2,33955730,r
4,66121109,r
6,89622296,r
10,119896468,r
16,167204482,r
20,214691143,r
24,213522258,r
32,238601393,r
40,272256950,r
48,359033772,r
60,446237751,r
72,484914959,r
80,508956001,r
84,509202232,r
88,511009795,r
