thread, ops, rss
1, 20395330, 3346
2, 24694562, 3407
4, 31619856, 3421
8, 66229649, 3500
16, 116767367, 4025
32, 253426956, 5153
48, 383357285, 6369
64, 466977876, 7132
72, 510059258, 8277
80, 519187514, 8614
1, 20336703, 3311
2, 24633074, 3348
4, 39108067, 3378
8, 59502329, 3487
16, 108823386, 4092
32, 256726516, 5327
48, 370518426, 6533
64, 466333820, 7103
72, 507125740, 8323
80, 526176745, 8506
1, 20412254, 3253
2, 24015568, 3314
4, 42029924, 3402
8, 68049399, 3595
16, 115079553, 4003
32, 259981086, 5363
48, 366500945, 6334
64, 471595509, 7028
72, 507445696, 8388
80, 517490459, 8551
