thread, ops, rss
1, 12483708, 7864
2, 18740840, 10232
4, 29356226, 14128
8, 48974650, 14292
16, 97570254, 15082
24, 134958262, 13632
32, 165466675, 16522
40, 200321978, 14032
48, 207294113, 18650
1, 12436867, 13777
2, 14978798, 11709
4, 23273856, 12064
8, 48519569, 14385
16, 98722765, 13048
24, 139257494, 15879
32, 170357397, 14344
40, 203731144, 18245
48, 207839551, 18671
1, 12478004, 13818
2, 17035137, 11824
4, 26893160, 12039
8, 49055885, 14359
16, 97190953, 15101
24, 139070162, 15845
32, 166556106, 16456
40, 195831990, 17911
48, 206423909, 18556
