thread, ops, rss
1, 17308931, 142846
2, 19242757, 142701
4, 31298503, 142757
8, 60094401, 143253
16, 108109426, 144009
32, 239007781, 145830
48, 330682561, 146057
64, 410857998, 147202
72, 436064369, 146544
80, 437088210, 146705
1, 17293919, 142794
2, 24805005, 142711
4, 38334978, 141580
8, 55196758, 143322
16, 111515131, 144277
32, 232072171, 145905
48, 331130766, 146062
64, 399173655, 148479
72, 434273260, 146434
80, 441047358, 146934
1, 17319288, 142656
2, 19832201, 141423
4, 33075318, 141595
8, 61015310, 143388
16, 107394525, 142838
32, 239173349, 144631
48, 326652719, 147042
64, 404892186, 148654
72, 435796569, 146199
80, 443749874, 149869
