thread, ops, rss
1, 18579217, 16546
2, 15773013, 14551
4, 31466625, 16870
8, 58003525, 29464
16, 91640732, 39887
24, 150536965, 45122
32, 177581456, 63205
40, 202894723, 62731
48, 208139536, 62588
1, 18498728, 12489
2, 15553450, 12608
4, 32472530, 16985
8, 60030118, 23189
16, 86913211, 37975
24, 153012813, 43547
32, 177528921, 57422
40, 192691886, 79715
48, 205550845, 71593
1, 18569160, 12440
2, 21755497, 14577
4, 32115175, 18877
8, 59020768, 25192
16, 80996120, 35788
24, 152060341, 46829
32, 178185925, 57697
40, 195599900, 75773
48, 208704973, 69541
