thread,ops,allocator
1,26786040,lr
2,49417682,lr
4,63364903,lr
6,91047286,lr
10,152252686,lr
16,207414293,lr
20,244916795,lr
24,259769510,lr
32,286416360,lr
40,312023143,lr
48,414296020,lr
60,524405932,lr
72,550944762,lr
80,558886794,lr
84,564463359,lr
88,572485940,lr
1,26829761,lr
2,36976558,lr
4,74712153,lr
6,92524221,lr
10,147583489,lr
16,195096411,lr
20,239236313,lr
24,254989019,lr
32,282368056,lr
40,320281266,lr
48,414705317,lr
60,515406632,lr
72,553553560,lr
80,563943352,lr
84,568762076,lr
88,570196703,lr
1,26810798,lr
2,49337806,lr
4,59743005,lr
6,99580764,lr
10,154537746,lr
16,202645463,lr
20,261434309,lr
24,256337007,lr
32,284174044,lr
40,314055095,lr
48,411308528,lr
60,524646161,lr
72,548784066,lr
80,566448205,lr
84,565608352,lr
88,576669831,lr
