thread,ops,allocator
1,13446965,mak
2,23189103,mak
4,45169082,mak
6,65036163,mak
10,98011869,mak
16,127916090,mak
20,160774807,mak
24,164914601,mak
32,183883717,mak
40,200231555,mak
48,270135823,mak
60,342244855,mak
72,372483467,mak
80,389310904,mak
84,392490450,mak
88,395978014,mak
1,13419817,mak
2,24713932,mak
4,46745923,mak
6,63185210,mak
10,100082324,mak
16,131518551,mak
20,157650066,mak
24,166567257,mak
32,183255760,mak
40,200717674,mak
48,269088887,mak
60,346867757,mak
72,372341693,mak
80,390796224,mak
84,393292651,mak
88,394776715,mak
1,13425059,mak
2,25556350,mak
4,48146707,mak
6,61837630,mak
10,92965523,mak
16,135516768,mak
20,162816940,mak
24,165406982,mak
32,183989947,mak
40,198885090,mak
48,269000873,mak
60,345494894,mak
72,374051700,mak
80,391334617,mak
84,393734804,mak
88,396834811,mak
