thread,ops,allocator
1,20373597,r
2,34677305,r
4,64687911,r
6,85756637,r
10,122917129,r
16,168468957,r
20,210173310,r
24,215370840,r
32,238988440,r
40,270375640,r
48,350550335,r
60,444225078,r
72,485222657,r
80,505031538,r
84,511426155,r
88,510100777,r
1,20417275,r
2,32413280,r
4,60992055,r
6,89308821,r
10,132245518,r
16,173609428,r
20,202814159,r
24,218138492,r
32,238965285,r
40,265010381,r
48,347680078,r
60,439731283,r
72,485459660,r
80,505318310,r
84,508552332,r
88,510196206,r
1,20421316,r
2,33818142,r
4,62909325,r
6,78878209,r
10,129331417,r
16,171570833,r
20,203512546,r
24,215625729,r
32,240930445,r
40,260857781,r
48,351879535,r
60,448387190,r
72,485564904,r
80,504361839,r
84,505604263,r
88,511185059,r
