thread,exec_time,allocator
2,2.086780,je
4,1.336798,je
6,0.924752,je
10,0.574552,je
16,0.411121,je
20,0.336518,je
24,0.319735,je
32,0.258214,je
40,0.214739,je
48,0.180938,je
60,0.149815,je
72,0.129166,je
80,0.121992,je
84,0.187837,je
88,0.202448,je
2,2.819049,je
4,1.341156,je
6,0.915617,je
10,0.554327,je
16,0.384302,je
20,0.328240,je
24,0.327208,je
32,0.255645,je
40,0.212671,je
48,0.181408,je
60,0.149664,je
72,0.131389,je
80,0.117689,je
84,0.174529,je
88,0.206952,je
2,2.646120,je
4,1.343785,je
6,0.956780,je
10,0.569461,je
16,0.401506,je
20,0.327957,je
24,0.316965,je
32,0.254267,je
40,0.215155,je
48,0.180278,je
60,0.149194,je
72,0.134525,je
80,0.118743,je
84,0.166957,je
88,0.201136,je
