thread,exec_time,allocator
2,3.314715,lr
4,1.684039,lr
6,1.134138,lr
10,0.719320,lr
16,0.496439,lr
20,0.420021,lr
24,0.397168,lr
32,0.384758,lr
40,0.475686,lr
48,0.672842,lr
60,0.799500,lr
72,0.876531,lr
80,0.892769,lr
84,2.120980,lr
88,2.570750,lr
2,3.284224,lr
4,1.712080,lr
6,1.141495,lr
10,0.722706,lr
16,0.490553,lr
20,0.421080,lr
24,0.399232,lr
32,0.392421,lr
40,0.467197,lr
48,0.675063,lr
60,0.814521,lr
72,0.879707,lr
80,0.930390,lr
84,1.607436,lr
88,2.639021,lr
2,3.267199,lr
4,1.683502,lr
6,1.160317,lr
10,0.725652,lr
16,0.486937,lr
20,0.417381,lr
24,0.403090,lr
32,0.387457,lr
40,0.460827,lr
48,0.658828,lr
60,0.835402,lr
72,0.884284,lr
80,0.914000,lr
84,1.820171,lr
88,2.629396,lr
