thread,exec_time,allocator
2,4.005566,mak
4,2.140574,mak
6,1.450410,mak
10,1.109268,mak
16,0.998706,mak
20,0.985998,mak
24,0.992011,mak
32,0.976510,mak
40,1.014031,mak
48,1.303511,mak
60,1.482304,mak
72,1.513361,mak
80,1.638432,mak
84,1.630741,mak
88,1.502868,mak
2,3.941047,mak
4,2.126431,mak
6,1.391044,mak
10,1.103323,mak
16,1.011114,mak
20,0.993711,mak
24,0.987416,mak
32,0.972554,mak
40,1.020121,mak
48,1.306554,mak
60,1.466790,mak
72,1.579989,mak
80,1.607891,mak
84,1.643571,mak
88,1.613187,mak
2,4.000599,mak
4,2.056216,mak
6,1.381970,mak
10,1.132592,mak
16,0.990332,mak
20,0.975182,mak
24,0.991063,mak
32,0.980236,mak
40,1.023758,mak
48,1.285268,mak
60,1.486566,mak
72,1.585180,mak
80,1.611182,mak
84,1.646733,mak
88,1.582646,mak
