thread,exec_time,allocator
2,3.854974,r
4,2.063869,r
6,1.355970,r
10,0.873292,r
16,0.596536,r
20,0.503188,r
24,0.532866,r
32,0.417023,r
40,0.345611,r
48,0.293976,r
60,0.242516,r
72,0.207482,r
80,0.194418,r
84,0.282230,r
88,0.290439,r
2,3.895405,r
4,2.047194,r
6,1.424689,r
10,0.871357,r
16,0.604386,r
20,0.502236,r
24,0.535716,r
32,0.415181,r
40,0.345508,r
48,0.291092,r
60,0.250476,r
72,0.206878,r
80,0.191934,r
84,0.254564,r
88,0.406467,r
2,3.895249,r
4,2.023493,r
6,1.411343,r
10,0.876567,r
16,0.611245,r
20,0.504367,r
24,0.533963,r
32,0.415949,r
40,0.344305,r
48,0.297075,r
60,0.239733,r
72,0.214560,r
80,0.199196,r
84,0.248980,r
88,0.362317,r
