thread,exec_time,allocator
1,28.557994,je
2,13.608287,je
4,7.028729,je
6,4.808097,je
10,2.958687,je
16,2.075327,je
20,1.757223,je
24,2.307808,je
32,1.752882,je
40,1.504987,je
48,1.304641,je
60,1.027228,je
72,0.853472,je
80,0.734251,je
84,1.015210,je
88,1.008858,je
1,28.514680,je
2,13.592654,je
4,7.029677,je
6,4.785195,je
10,2.963538,je
16,2.048890,je
20,1.750391,je
24,2.322762,je
32,1.760359,je
40,1.503242,je
48,1.302685,je
60,1.027092,je
72,0.856452,je
80,0.729260,je
84,1.120088,je
88,0.994238,je
1,28.522198,je
2,13.630732,je
4,7.118647,je
6,4.773085,je
10,2.974010,je
16,2.070398,je
20,1.759696,je
24,2.322431,je
32,1.776425,je
40,1.512197,je
48,1.304776,je
60,1.036314,je
72,0.847728,je
80,0.731736,je
84,1.013824,je
88,0.980031,je
