thread,exec_time,allocator
1,76.917590,mak
2,27.143926,mak
4,15.593266,mak
6,12.060025,mak
10,10.733800,mak
16,9.218058,mak
20,9.166472,mak
24,9.250541,mak
32,8.421599,mak
40,8.757332,mak
48,14.228523,mak
60,17.413115,mak
72,18.539708,mak
80,19.186136,mak
84,17.005948,mak
88,15.557127,mak
1,79.159071,mak
2,26.928991,mak
4,15.583941,mak
6,11.996832,mak
10,10.858229,mak
16,9.274620,mak
20,9.254853,mak
24,9.235917,mak
32,8.448384,mak
40,8.784130,mak
48,14.707392,mak
60,17.370722,mak
72,17.395291,mak
80,18.195112,mak
84,16.356746,mak
88,16.071761,mak
1,78.960804,mak
2,27.040068,mak
4,15.581995,mak
6,12.063006,mak
10,10.732157,mak
16,9.263183,mak
20,9.228438,mak
24,9.205621,mak
32,8.453309,mak
40,8.741333,mak
48,14.269115,mak
60,17.361644,mak
72,18.218889,mak
80,18.569460,mak
84,16.043415,mak
88,15.609725,mak
