thread,exec_time,allocator
1,13.355126,r
2,6.404917,r
4,3.217747,r
6,2.266482,r
10,1.301940,r
16,0.917138,r
20,0.792453,r
24,1.053848,r
32,0.825525,r
40,0.717562,r
48,0.815566,r
60,0.821682,r
72,0.875918,r
80,0.980604,r
84,1.105729,r
88,0.936880,r
1,13.151178,r
2,6.415993,r
4,3.217529,r
6,2.272445,r
10,1.307267,r
16,0.913142,r
20,0.793592,r
24,1.052322,r
32,0.822325,r
40,0.728017,r
48,0.811692,r
60,0.822175,r
72,0.865804,r
80,0.978746,r
84,1.087774,r
88,0.946150,r
1,13.167889,r
2,6.400683,r
4,3.210246,r
6,2.257337,r
10,1.304032,r
16,0.913469,r
20,0.792734,r
24,1.049744,r
32,0.820732,r
40,0.718130,r
48,0.803393,r
60,0.818283,r
72,0.867768,r
80,0.992901,r
84,1.085049,r
88,0.932395,r
