thread,exec_time,allocator
1,303.367965,mak
2,50.492045,mak
4,47.012765,mak
6,45.357934,mak
10,39.402056,mak
16,47.313598,mak
20,54.093555,mak
24,48.118457,mak
32,47.993445,mak
40,51.347989,mak
48,83.200486,mak
60,108.191648,mak
72,117.787648,mak
80,115.276999,mak
84,112.911253,mak
88,99.798384,mak
1,312.764733,mak
2,50.848450,mak
4,46.829120,mak
6,45.310172,mak
10,40.253985,mak
16,47.151330,mak
20,54.176194,mak
24,48.569081,mak
32,48.187748,mak
40,51.753365,mak
48,83.733204,mak
60,111.173329,mak
72,122.870754,mak
80,121.188067,mak
84,120.449920,mak
88,100.896560,mak
1,288.538107,mak
2,51.294584,mak
4,47.012031,mak
6,44.992738,mak
10,40.160899,mak
16,46.892893,mak
20,54.303518,mak
24,48.591972,mak
32,47.869378,mak
40,51.530496,mak
48,84.047917,mak
60,107.956047,mak
72,116.968242,mak
80,120.720805,mak
84,118.262281,mak
88,100.024002,mak
