thread,exec_time,allocator
1,27.689310,r
2,13.720392,r
4,7.282592,r
6,5.090221,r
10,3.358278,r
16,2.613798,r
20,2.421227,r
24,3.074885,r
32,2.655486,r
40,2.292981,r
48,3.980881,r
60,3.630120,r
72,4.175072,r
80,4.285921,r
84,6.225608,r
88,4.701796,r
1,27.058809,r
2,13.726597,r
4,7.276258,r
6,5.089751,r
10,3.358178,r
16,2.623270,r
20,2.403656,r
24,3.088524,r
32,2.673848,r
40,2.284919,r
48,3.751423,r
60,3.913868,r
72,4.557172,r
80,13.712215,r
84,5.494579,r
88,5.710189,r
1,27.019435,r
2,13.717893,r
4,7.279726,r
6,5.093858,r
10,3.366461,r
16,2.628613,r
20,2.412243,r
24,3.096020,r
32,2.677845,r
40,2.283331,r
48,3.872769,r
60,3.718732,r
72,5.021047,r
80,4.862219,r
84,4.970311,r
88,4.705975,r
