thread, exec_time, rss
2, 7.122719, 5788
4, 3.571713, 11983
8, 1.363984, 14459
12, 1.037423, 27329
16, 0.811453, 18046
24, 0.627889, 62851
32, 0.601248, 42025
40, 0.451667, 49609
48, 0.493994, 95552
2, 7.652075, 7642
4, 1.596503, 9881
8, 0.976309, 9777
12, 1.063402, 15216
16, 0.740026, 36009
24, 0.662985, 32705
32, 0.556645, 71931
40, 0.503123, 49604
48, 0.376118, 86854
2, 7.478239, 7751
4, 3.464764, 9921
8, 1.456227, 19007
12, 0.870729, 15642
16, 0.829136, 16249
24, 0.704398, 65243
32, 0.532539, 44399
40, 0.544045, 101744
48, 0.562617, 75088
