thread, exec_time, rss
2, 6.698217, 6451
4, 3.776189, 6799
8, 1.546635, 9190
12, 1.012887, 7526
16, 0.718122, 10215
24, 0.691424, 10920
32, 0.683559, 16076
40, 0.710672, 11966
48, 1.171857, 14219
2, 7.469948, 6292
4, 3.760400, 6962
8, 1.516061, 9188
12, 1.101935, 7719
16, 0.888693, 9603
24, 0.652478, 9460
32, 0.705759, 12373
40, 0.673775, 13935
48, 1.269260, 15437
2, 6.522615, 6245
4, 3.400223, 7043
8, 1.280727, 9100
12, 1.088315, 7860
16, 0.607828, 10119
24, 0.634684, 9287
32, 0.687766, 12176
40, 0.681387, 13983
48, 1.254812, 15213
