thread, exec_time, rss
2, 7.783080, 14342
4, 2.570234, 16345
8, 1.798840, 16279
12, 1.429399, 14162
16, 1.149534, 15169
24, 1.221435, 14992
32, 1.291373, 16962
40, 1.313224, 23592
48, 1.325359, 32448
2, 7.781330, 11949
4, 2.458927, 9908
8, 2.034041, 10576
12, 1.368761, 10239
16, 1.282895, 10160
24, 1.211749, 14821
32, 1.251283, 11194
40, 1.323994, 30396
48, 1.319371, 49275
2, 8.410890, 9909
4, 2.516733, 10064
8, 2.104606, 10165
12, 1.409940, 14391
16, 1.228178, 10294
24, 1.207551, 15653
32, 1.257808, 14971
40, 1.315004, 29950
48, 1.336327, 30238
