thread, exec_time, rss
2, 17.992573, 16062
4, 12.650244, 18190
8, 8.576402, 16793
12, 5.657662, 17320
16, 4.368127, 15662
24, 3.139905, 18626
32, 2.757582, 18659
40, 2.399145, 26468
48, 2.013632, 33964
2, 18.649258, 14941
4, 13.192902, 15344
8, 8.057494, 15446
12, 6.515551, 17827
16, 4.304891, 16311
24, 3.095991, 22952
32, 3.293243, 16428
40, 2.279243, 31623
48, 1.932242, 43226
2, 18.985021, 15990
4, 13.590378, 16000
8, 8.687432, 15711
12, 5.489875, 17292
16, 4.632248, 16014
24, 3.228503, 19539
32, 2.820815, 21222
40, 2.364895, 35853
48, 1.990637, 36213
