thread, exec_time, allocator
2, 2.641487, je
4, 1.563656, je
6, 1.002407, je
10, 2.553562, je
16, 0.397178, je
20, 0.375676, je
24, 0.330654, je
32, 0.255715, je
40, 1.212059, je
48, 1.038479, je
60, 1.292363, je
72, 0.932970, je
80, 0.847821, je
84, 0.789351, je
88, 0.694420, je
2, 2.733290, je
4, 1.196556, je
6, 1.313904, je
10, 0.585491, je
16, 0.406060, je
20, 0.341863, je
24, 0.338560, je
32, 0.243611, je
40, 1.417168, je
48, 1.269812, je
60, 1.035768, je
72, 0.781184, je
80, 0.914947, je
84, 0.764833, je
88, 0.789096, je
2, 2.821753, je
4, 1.170260, je
6, 0.967988, je
10, 0.583397, je
16, 0.419986, je
20, 0.381366, je
24, 0.317995, je
32, 0.253961, je
40, 1.155819, je
48, 1.167783, je
60, 0.873371, je
72, 0.858270, je
80, 0.819478, je
84, 0.843056, je
88, 0.629710, je
