thread,exec_time,allocator
2,3.493371,lr
4,1.760528,lr
6,1.193033,lr
10,0.769837,lr
16,0.526641,lr
20,0.443145,lr
24,0.489042,lr
32,0.382715,lr
40,0.321522,lr
48,0.279536,lr
62,0.234592,lr
72,0.217199,lr
80,0.217496,lr
84,0.292078,lr
88,0.357527,lr
2,3.424968,lr
4,1.854587,lr
6,1.208738,lr
10,0.769859,lr
16,0.524924,lr
20,0.442100,lr
24,0.483028,lr
32,0.378453,lr
40,0.319840,lr
48,0.275346,lr
62,0.234778,lr
72,0.207412,lr
80,0.198895,lr
84,0.313771,lr
88,0.355397,lr
2,3.402807,lr
4,1.767182,lr
6,1.198830,lr
10,0.758486,lr
16,0.535006,lr
20,0.444940,lr
24,0.483583,lr
32,0.379119,lr
40,0.322291,lr
48,0.275550,lr
62,0.230538,lr
72,0.212313,lr
80,0.209103,lr
84,0.322074,lr
88,0.379896,lr
