thread,exec_time,allocator
2,4.233712,mak
4,2.072081,mak
6,1.419001,mak
10,1.162949,mak
16,0.964527,mak
20,0.944517,mak
24,0.976662,mak
32,0.958484,mak
40,1.064786,mak
48,1.189794,mak
60,1.412052,mak
72,1.557473,mak
80,1.555323,mak
84,1.587263,mak
88,1.587601,mak
2,3.317382,mak
4,1.859837,mak
6,1.400994,mak
10,1.103758,mak
16,0.985549,mak
20,0.944934,mak
24,0.961209,mak
32,0.974086,mak
40,1.039556,mak
48,1.200902,mak
60,1.413413,mak
72,1.544860,mak
80,1.573471,mak
84,1.613781,mak
88,1.576376,mak
2,3.460798,mak
4,1.952632,mak
6,1.281855,mak
10,1.072086,mak
16,0.986984,mak
20,0.937184,mak
24,0.964507,mak
32,0.977790,mak
40,1.053045,mak
48,1.221894,mak
60,1.422706,mak
72,1.529697,mak
80,1.588538,mak
84,1.561016,mak
88,1.569240,mak
