thread,exec_time,allocator
2,36.793803,pmdk
4,20.778280,pmdk
6,13.979090,pmdk
10,9.177524,pmdk
16,5.701342,pmdk
20,4.917655,pmdk
24,6.094865,pmdk
32,4.741223,pmdk
40,4.123623,pmdk
48,3.307692,pmdk
60,2.531303,pmdk
72,2.663302,pmdk
80,2.349840,pmdk
84,2.340744,pmdk
88,2.250023,pmdk
2,41.222283,pmdk
4,21.678738,pmdk
6,13.981134,pmdk
10,8.477988,pmdk
16,5.669402,pmdk
20,4.642913,pmdk
24,6.026202,pmdk
32,4.692839,pmdk
40,4.182210,pmdk
48,3.056404,pmdk
60,2.433152,pmdk
72,2.456288,pmdk
80,2.410911,pmdk
84,2.250307,pmdk
88,2.223175,pmdk
2,36.068655,pmdk
4,19.716332,pmdk
6,13.564049,pmdk
10,8.923168,pmdk
16,5.592675,pmdk
20,4.631881,pmdk
24,6.051329,pmdk
32,4.754723,pmdk
40,4.128445,pmdk
48,3.005403,pmdk
60,2.410133,pmdk
72,2.461649,pmdk
80,2.315670,pmdk
84,2.324951,pmdk
88,2.327858,pmdk
