thread,exec_time,allocator
2,3.430845,r
4,1.776104,r
6,1.218811,r
10,0.768475,r
16,0.541314,r
20,0.449769,r
24,0.486220,r
32,0.384613,r
40,0.321094,r
48,0.277376,r
62,0.239839,r
72,0.216612,r
80,0.212344,r
84,0.337155,r
88,0.404654,r
2,3.468219,r
4,1.805810,r
6,1.200875,r
10,0.774290,r
16,0.524852,r
20,0.448665,r
24,0.485877,r
32,0.390540,r
40,0.320217,r
48,0.276943,r
62,0.232533,r
72,0.216605,r
80,1.059780,r
84,0.331607,r
88,0.336914,r
2,3.416070,r
4,1.801586,r
6,1.191335,r
10,0.769660,r
16,0.525002,r
20,0.448192,r
24,0.488162,r
32,0.382594,r
40,0.322116,r
48,0.277920,r
62,0.233759,r
72,0.219949,r
80,0.211073,r
84,0.311270,r
88,0.372865,r
