thread, exec_time, rss
2, 9.535039, 14123
4, 2.289655, 13757
8, 1.892472, 22929
12, 1.528262, 24840
16, 1.132084, 33798
24, 0.924728, 40486
32, 0.863591, 59985
40, 0.762933, 70484
48, 0.768186, 84147
2, 8.064861, 14028
4, 4.684127, 14221
8, 2.173166, 23624
12, 1.479120, 28762
16, 1.154257, 39090
24, 0.974833, 44808
32, 0.797956, 64724
40, 0.752349, 66139
48, 0.749753, 81887
2, 8.990378, 14394
4, 5.030653, 15934
8, 2.436184, 22811
12, 1.367434, 27697
16, 1.156021, 31997
24, 0.922968, 42572
32, 0.879310, 60142
40, 0.827714, 71114
48, 0.796800, 85712
