thread, exec_time, rss
1, 9.890172, 6316
2, 4.715335, 9890
4, 2.427973, 11230
8, 1.263415, 11224
16, 0.949769, 11087
24, 0.711299, 24549
32, 0.532326, 26122
40, 0.436207, 48622
48, 0.521334, 51830
1, 9.961879, 8240
2, 4.755403, 9330
4, 2.425400, 11313
8, 1.296963, 11308
16, 0.937449, 11079
24, 0.717992, 10088
32, 0.536142, 16447
40, 0.422804, 43500
48, 0.513077, 44500
1, 9.916715, 8348
2, 4.713486, 6310
4, 2.432298, 11421
8, 1.278038, 11190
16, 0.947765, 9148
24, 0.719349, 12468
32, 0.535403, 23110
40, 0.425849, 44636
48, 0.546473, 54841
