thread, exec_time, rss
1, 31.412768, 433515
2, 16.126167, 444018
4, 7.824762, 437309
8, 4.567904, 425647
16, 2.440963, 463845
32, 2.044275, 390144
48, 2.780107, 333619
64, 3.499063, 416694
72, 3.156047, 332134
80, 3.614771, 416862
1, 31.280050, 431793
2, 16.086975, 435851
4, 7.907970, 441005
8, 4.560005, 449892
16, 2.343494, 450548
32, 1.959422, 431644
48, 2.947958, 338682
64, 3.409435, 435706
72, 3.029981, 330608
80, 3.556274, 409832
1, 31.249086, 434869
2, 15.812726, 439064
4, 8.423218, 440289
8, 4.451696, 442490
16, 2.337616, 458227
32, 2.058025, 450989
48, 2.840308, 329655
64, 3.221666, 408504
72, 3.205091, 338748
80, 3.573056, 420498
