thread, exec_time, rss
1, 21.795443, 9660
2, 9.209577, 9648
4, 5.273911, 9664
8, 4.334077, 9877
16, 3.730826, 10181
24, 4.230488, 10479
32, 3.977734, 8894
40, 4.080606, 11182
48, 3.949464, 9256
1, 22.191998, 9588
2, 9.172183, 7612
4, 5.347456, 7672
8, 4.409077, 7940
16, 4.104309, 10252
24, 4.267844, 10469
32, 3.912063, 10922
40, 3.928884, 11170
48, 3.942459, 11415
1, 22.071917, 9596
2, 9.181276, 7564
4, 5.317769, 7677
8, 4.344377, 7869
16, 4.081200, 8208
24, 4.230257, 8387
32, 3.963535, 8838
40, 4.030969, 9227
48, 4.000499, 9085
