thread, exec_time, rss
1, 53.171387, 438817
2, 25.902034, 433128
4, 13.417505, 435976
8, 8.030487, 440423
16, 4.619623, 438304
24, 3.818241, 370925
32, 3.784790, 469111
40, 3.413674, 470231
48, 3.398714, 359781
64, 2.836334, 436942
72, 3.043697, 334378
80, 3.436058, 581779
1, 53.119712, 438747
2, 25.804866, 436285
4, 13.698974, 431686
8, 7.922574, 432449
16, 4.783358, 440880
24, 4.210998, 392682
32, 3.931527, 481791
40, 3.284508, 471412
48, 3.623539, 366792
64, 2.968215, 434616
72, 3.186917, 359460
80, 3.339368, 587892
1, 53.255719, 438391
2, 26.120751, 435426
4, 13.607490, 432819
8, 7.829917, 424526
16, 4.689244, 438007
24, 3.856321, 373805
32, 3.683513, 482834
40, 3.478280, 463337
48, 3.500072, 367518
64, 2.763196, 424954
72, 3.176914, 367039
80, 3.193077, 382194
