thread, exec_time, rss
1, 224.601484, 13349
2, 196.258507, 16108
4, 128.308227, 18389
8, 89.230785, 16246
16, 63.779010, 23202
24, 52.856631, 22166
32, 54.553411, 19940
40, 53.271926, 23397
48, 68.488702, 25582
1, 224.309264, 15476
2, 196.764177, 14882
4, 131.546635, 18462
8, 87.740975, 14604
16, 64.457479, 18323
24, 52.377958, 20205
32, 53.972641, 19771
40, 52.806632, 24433
48, 67.769570, 25048
1, 224.882212, 12848
2, 196.522693, 13219
4, 138.889702, 13675
8, 88.994235, 14832
16, 62.864830, 16216
24, 51.926912, 20224
32, 54.408951, 22407
40, 52.806974, 21313
48, 68.334094, 26734
