thread, exec_time, rss
1, 5.419193, 12313
2, 2.726437, 13966
4, 1.467935, 15800
8, 0.860197, 18540
16, 0.643966, 20658
24, 0.491719, 16120
32, 0.492592, 22627
40, 0.419707, 21858
48, 0.392647, 25233
1, 5.423103, 14154
2, 2.709183, 18041
4, 1.456975, 15491
8, 0.821984, 20644
16, 0.645302, 20972
24, 0.491506, 16107
32, 0.467797, 20228
40, 0.431995, 23804
48, 0.390208, 20685
1, 5.431627, 12184
2, 2.722451, 14162
4, 1.461658, 15627
8, 0.837978, 20756
16, 0.654730, 20664
24, 0.490542, 19178
32, 0.475781, 19846
40, 0.424714, 28070
48, 0.374316, 28145
