thread,exec_time,allocator
1,0.601112,je
2,0.282680,je
4,0.136071,je
6,0.089707,je
10,0.057982,je
16,0.042751,je
20,0.037798,je
24,0.052211,je
32,0.046176,je
40,0.035788,je
48,0.033795,je
62,0.033162,je
72,0.033974,je
80,0.034335,je
84,0.054190,je
88,0.038625,je
1,0.600964,je
2,0.286268,je
4,0.136648,je
6,0.088692,je
10,0.057876,je
16,0.042391,je
20,0.039125,je
24,0.050992,je
32,0.046240,je
40,0.036851,je
48,0.034469,je
62,0.031082,je
72,0.034431,je
80,0.033097,je
84,0.041025,je
88,0.062491,je
1,0.602399,je
2,0.283599,je
4,0.136511,je
6,0.087865,je
10,0.057677,je
16,0.042675,je
20,0.038513,je
24,0.051958,je
32,0.044753,je
40,0.037374,je
48,0.035458,je
62,0.033582,je
72,0.032682,je
80,0.034069,je
84,0.044873,je
88,0.045904,je
