thread,exec_time,allocator
1,2.368576,lr
2,1.099342,lr
4,0.588294,lr
6,0.407147,lr
10,0.259382,lr
16,0.170424,lr
20,0.150061,lr
24,0.203080,lr
32,0.166720,lr
40,0.147157,lr
48,0.151716,lr
60,0.146651,lr
72,0.140523,lr
80,0.136580,lr
84,0.621444,lr
88,0.384205,lr
1,2.379720,lr
2,1.106907,lr
4,0.589889,lr
6,0.409098,lr
10,0.258748,lr
16,0.173226,lr
20,0.151915,lr
24,0.206022,lr
32,0.165885,lr
40,0.147824,lr
48,0.148281,lr
60,0.148899,lr
72,0.137866,lr
80,0.136764,lr
84,0.224743,lr
88,0.509960,lr
1,2.373293,lr
2,1.102658,lr
4,0.589095,lr
6,0.405983,lr
10,0.258374,lr
16,0.172104,lr
20,0.151287,lr
24,0.205388,lr
32,0.166868,lr
40,0.149726,lr
48,0.149582,lr
60,0.149876,lr
72,0.137684,lr
80,0.138383,lr
84,0.233973,lr
88,0.246657,lr
