thread,exec_time,allocator
1,20.192772,mak
2,6.623983,mak
4,3.992163,mak
6,3.259929,mak
10,3.199683,mak
16,2.826561,mak
20,2.873366,mak
24,2.833504,mak
32,2.697247,mak
40,2.650572,mak
48,3.777141,mak
60,4.630309,mak
72,4.811377,mak
80,4.675846,mak
84,4.280876,mak
88,4.173810,mak
1,20.554392,mak
2,6.650993,mak
4,3.971823,mak
6,3.269831,mak
10,3.161577,mak
16,2.823827,mak
20,2.871550,mak
24,2.831615,mak
32,2.685527,mak
40,2.661414,mak
48,3.797385,mak
60,4.615363,mak
72,4.783693,mak
80,4.565881,mak
84,4.223919,mak
88,4.188536,mak
1,19.596366,mak
2,6.628258,mak
4,3.978343,mak
6,3.239277,mak
10,3.168854,mak
16,2.830276,mak
20,2.891176,mak
24,2.803183,mak
32,2.701801,mak
40,2.640702,mak
48,3.784566,mak
60,4.704734,mak
72,4.745564,mak
80,4.668651,mak
84,4.144347,mak
88,4.149734,mak
