thread,exec_time,allocator
1,205.872525,pmdk
2,109.544456,pmdk
4,60.046039,pmdk
6,42.450096,pmdk
10,27.741035,pmdk
16,19.920958,pmdk
20,16.784158,pmdk
24,17.302453,pmdk
32,14.087757,pmdk
40,11.716975,pmdk
48,9.376230,pmdk
62,9.200950,pmdk
72,9.262565,pmdk
80,9.433835,pmdk
84,14.281770,pmdk
88,14.830841,pmdk
1,205.989905,pmdk
2,109.242783,pmdk
4,59.855535,pmdk
6,42.650889,pmdk
10,27.787378,pmdk
16,19.942421,pmdk
20,16.850763,pmdk
24,17.301369,pmdk
32,14.172604,pmdk
40,11.610558,pmdk
48,9.267043,pmdk
62,9.215462,pmdk
72,9.426748,pmdk
80,9.201879,pmdk
84,14.891549,pmdk
88,15.057632,pmdk
1,207.358836,pmdk
2,110.143554,pmdk
4,59.815990,pmdk
6,42.705537,pmdk
10,27.774221,pmdk
16,19.613262,pmdk
20,16.775649,pmdk
24,17.160578,pmdk
32,14.428594,pmdk
40,11.585251,pmdk
48,9.095758,pmdk
62,9.279501,pmdk
72,9.487063,pmdk
80,9.990983,pmdk
84,15.043636,pmdk
88,14.394896,pmdk
