thread,exec_time,allocator
1,3.778109,r
2,1.873760,r
4,1.004286,r
6,0.714074,r
10,0.507760,r
16,0.366685,r
20,0.345524,r
24,0.413803,r
32,0.349721,r
40,0.304471,r
48,0.382577,r
62,0.367013,r
72,0.317523,r
80,0.305748,r
84,0.345590,r
88,0.371361,r
1,3.668626,r
2,1.885256,r
4,1.004428,r
6,0.714919,r
10,0.511601,r
16,0.366401,r
20,0.353060,r
24,0.406505,r
32,0.335504,r
40,0.413185,r
48,0.382297,r
62,0.347478,r
72,0.311411,r
80,0.304756,r
84,0.365044,r
88,0.381757,r
1,3.687009,r
2,1.877545,r
4,1.006823,r
6,0.712433,r
10,0.499202,r
16,0.504233,r
20,0.336989,r
24,0.423590,r
32,0.323670,r
40,0.320563,r
48,0.377251,r
62,0.359951,r
72,0.312717,r
80,0.301106,r
84,0.325000,r
88,0.368446,r
