thread, exec_time, rss
1, 1179.857180, 13675
2, 1004.705742, 18539
4, 595.151778, 17073
8, 329.860142, 17798
16, 208.090046, 19873
24, 169.661897, 20727
32, 174.852827, 21918
40, 155.934769, 26406
48, 162.471678, 23039
1, 1175.231410, 15433
2, 1002.100477, 16685
4, 597.152979, 21163
8, 327.103380, 20193
16, 211.049236, 20065
24, 184.202061, 20480
32, 162.816995, 25436
40, 169.967805, 22684
48, 179.122002, 24790
1, 1169.704472, 15703
2, 986.087419, 16337
4, 604.873845, 19148
8, 329.333909, 18103
16, 206.764568, 20090
24, 176.930518, 21585
32, 165.104324, 22121
40, 165.812986, 21667
48, 163.790673, 29150
