thread, exec_time, rss
1, 47.847887, 15119
2, 23.175777, 13153
4, 11.802315, 15250
8, 6.032424, 18620
16, 3.700630, 33021
24, 3.141735, 39330
32, 2.653055, 45867
40, 2.357204, 56217
48, 2.592649, 48833
1, 47.832233, 15060
2, 23.125073, 15184
4, 11.980177, 15375
8, 6.003626, 21567
16, 3.656114, 31002
24, 3.160517, 40065
32, 2.649660, 40645
40, 2.342960, 48394
48, 2.654397, 39509
1, 47.736319, 13032
2, 24.043884, 15973
4, 11.788095, 18806
8, 6.311334, 24214
16, 3.774652, 33039
24, 3.152191, 55908
32, 2.657042, 45265
40, 2.331503, 49631
48, 2.569101, 44408
