thread, exec_time, rss
1, 46.169288, 11997
2, 19.942109, 11900
4, 9.513500, 11743
8, 5.575387, 11555
16, 4.194604, 11628
24, 3.727727, 11634
32, 3.431624, 11620
40, 2.999016, 11587
48, 3.629323, 11371
1, 46.389470, 11751
2, 20.841237, 11930
4, 9.522641, 11759
8, 5.620432, 11671
16, 4.174782, 11496
24, 3.660062, 11710
32, 3.472015, 11513
40, 2.986772, 9803
48, 3.583388, 9124
1, 46.374423, 12192
2, 20.785323, 11664
4, 9.357205, 9689
8, 5.554879, 11563
16, 4.231338, 13648
24, 3.769680, 11678
32, 3.430959, 11684
40, 3.000217, 11525
48, 3.650547, 13163
