thread, exec_time, rss
1, 282.694300, 11267
2, 76.591302, 11373
4, 47.164295, 11513
8, 41.103335, 12279
16, 41.111739, 10560
32, 42.848850, 11335
48, 52.359518, 11005
64, 55.522630, 10803
72, 56.739294, 10114
80, 55.001443, 10058
1, 281.798094, 11470
2, 76.410612, 11549
4, 45.217670, 11550
8, 41.135759, 12085
16, 40.637894, 11392
32, 43.009442, 11395
48, 51.802784, 12148
64, 56.058618, 11102
72, 56.980145, 9015
80, 53.930128, 10014
1, 252.427426, 11483
2, 74.085493, 11364
4, 45.667554, 11696
8, 40.109745, 12150
16, 40.967454, 11057
32, 42.832181, 11504
48, 52.969872, 11365
64, 55.598575, 10650
72, 56.469315, 8088
80, 55.782738, 8452
