thread, exec_time, rss
1, 27.423842, 182816
2, 14.953271, 189547
4, 7.928049, 204146
8, 4.568038, 234137
16, 2.602085, 290895
32, 2.589672, 402424
48, 2.643944, 503340
64, 2.464939, 467920
72, 2.521994, 378218
80, 2.610330, 349026
1, 27.748541, 182118
2, 15.009102, 189813
4, 8.141580, 205271
8, 4.589766, 230188
16, 2.614277, 283580
32, 2.560747, 358931
48, 2.737026, 448449
64, 2.472247, 435696
72, 2.320114, 402065
80, 2.617495, 409453
1, 27.579091, 182488
2, 15.280596, 189264
4, 8.067711, 203759
8, 4.566067, 244324
16, 2.745112, 284522
32, 2.785817, 350646
48, 2.730691, 369957
64, 2.403404, 412091
72, 2.270805, 316286
80, 2.684798, 395826
