thread, exec_time, rss
1, 967.276463, 14083
2, 797.953098, 15351
4, 470.235348, 16774
8, 286.954592, 15910
16, 190.503746, 18144
24, 156.172082, 15926
32, 159.583896, 17520
40, 143.549515, 17562
48, 140.898195, 21209
1, 963.327825, 15767
2, 826.377122, 16162
4, 498.381759, 17894
8, 290.054382, 17912
16, 192.519067, 18631
24, 166.243610, 18886
32, 148.396750, 19688
40, 164.849820, 20024
48, 156.634840, 19187
1, 972.061069, 17469
2, 837.106650, 15118
4, 513.724244, 15975
8, 289.511660, 19388
16, 187.250461, 20337
24, 156.793792, 18949
32, 150.634584, 18968
40, 147.687665, 22223
48, 139.726242, 23014
