thread, exec_time, rss
1, 33.658067, 14964
2, 18.730266, 12993
4, 9.931671, 16608
8, 5.751359, 22656
16, 4.846225, 36933
24, 5.136804, 40975
32, 5.848766, 55094
40, 4.638676, 52237
48, 5.783750, 69799
1, 33.574072, 14897
2, 18.398478, 16897
4, 9.758479, 16966
8, 5.795071, 24936
16, 4.708889, 34992
24, 5.090200, 51195
32, 5.496487, 49378
40, 4.588973, 47577
48, 5.835894, 57811
1, 33.647233, 15017
2, 18.590868, 16856
4, 10.001487, 20885
8, 5.772903, 26780
16, 4.803949, 36959
24, 5.009258, 45225
32, 5.593385, 61016
40, 4.461697, 56353
48, 6.103396, 60110
