thread,exec_time,allocator
1,39.812296,je
2,18.782237,je
4,9.594302,je
6,6.538397,je
10,4.184634,je
16,2.999861,je
20,2.654297,je
24,3.600190,je
32,2.928321,je
40,2.589834,je
48,2.146865,je
60,1.717453,je
72,1.409548,je
80,1.260736,je
84,1.660502,je
88,1.526810,je
1,38.469769,je
2,18.798042,je
4,9.590506,je
6,6.500832,je
10,4.336163,je
16,2.988590,je
20,2.659317,je
24,3.612590,je
32,2.934517,je
40,2.594441,je
48,2.130013,je
60,1.713097,je
72,1.408440,je
80,1.263861,je
84,1.625696,je
88,1.522426,je
1,38.449142,je
2,18.769459,je
4,9.582961,je
6,6.506713,je
10,4.178605,je
16,3.032365,je
20,2.618714,je
24,3.624455,je
32,2.938660,je
40,2.588051,je
48,2.137536,je
60,1.719640,je
72,1.406995,je
80,1.263436,je
84,1.628070,je
88,1.525937,je
