thread,exec_time,allocator
1,32.832843,lr
2,28.320771,lr
4,12.193593,lr
6,8.507581,lr
10,5.558294,lr
16,4.392743,lr
20,4.009313,lr
24,3.888189,lr
32,3.984605,lr
40,3.111831,lr
48,7.048445,lr
60,8.071815,lr
72,8.005259,lr
80,7.455293,lr
84,8.573030,lr
88,7.390310,lr
1,32.505866,lr
2,27.839983,lr
4,12.056225,lr
6,8.231999,lr
10,5.414870,lr
16,4.356190,lr
20,3.965577,lr
24,4.513970,lr
32,3.467190,lr
40,2.776466,lr
48,7.142895,lr
60,7.785643,lr
72,7.462162,lr
80,7.222683,lr
84,8.696331,lr
88,7.736325,lr
1,32.684241,lr
2,27.023169,lr
4,11.729805,lr
6,8.784877,lr
10,5.440249,lr
16,4.477728,lr
20,3.827701,lr
24,3.919807,lr
32,4.274629,lr
40,3.631911,lr
48,6.723083,lr
60,8.106412,lr
72,8.519946,lr
80,7.123939,lr
84,8.641143,lr
88,7.002523,lr
