thread,exec_time,allocator
1,298.489466,mak
2,50.475387,mak
4,46.973996,mak
6,45.072892,mak
10,40.285037,mak
16,46.971009,mak
20,54.466625,mak
24,48.462660,mak
32,48.672548,mak
40,52.315744,mak
48,70.811344,mak
62,93.604225,mak
72,96.592585,mak
80,97.550882,mak
84,94.981408,mak
88,79.058926,mak
1,297.947329,mak
2,50.445302,mak
4,47.461735,mak
6,45.603478,mak
10,40.331846,mak
16,46.996118,mak
20,54.579320,mak
24,48.822826,mak
32,48.420888,mak
40,52.470606,mak
48,72.163470,mak
62,94.356149,mak
72,96.758206,mak
80,96.167814,mak
84,96.005624,mak
88,79.063659,mak
1,297.912140,mak
2,51.193792,mak
4,47.262959,mak
6,45.412458,mak
10,40.192694,mak
16,46.807945,mak
20,54.530985,mak
24,49.021625,mak
32,49.299876,mak
40,51.838073,mak
48,71.373146,mak
62,93.525091,mak
72,99.374259,mak
80,96.711743,mak
84,95.103948,mak
88,80.238233,mak
