thread,exec_time,allocator
1,1696.362083,pmdk
2,947.314824,pmdk
4,558.516606,pmdk
6,395.009389,pmdk
10,261.122093,pmdk
16,188.217858,pmdk
20,145.656433,pmdk
24,157.525866,pmdk
32,135.149054,pmdk
40,113.287280,pmdk
48,121.556589,pmdk
62,89.982074,pmdk
72,82.351553,pmdk
80,83.598495,pmdk
84,94.146778,pmdk
88,106.093883,pmdk
1,1687.060696,pmdk
2,956.150127,pmdk
4,560.825695,pmdk
6,397.288996,pmdk
10,256.649752,pmdk
16,173.869762,pmdk
20,149.852697,pmdk
24,164.371417,pmdk
32,137.160260,pmdk
40,127.498655,pmdk
48,112.826166,pmdk
62,88.732003,pmdk
72,76.357881,pmdk
80,78.760552,pmdk
84,107.466773,pmdk
88,109.900041,pmdk
1,1690.666229,pmdk
2,964.000551,pmdk
4,561.545524,pmdk
6,402.960799,pmdk
10,257.045598,pmdk
16,172.648438,pmdk
20,151.099388,pmdk
24,156.468171,pmdk
32,133.101440,pmdk
40,113.189351,pmdk
48,125.358621,pmdk
62,87.266278,pmdk
72,76.207274,pmdk
80,74.474944,pmdk
84,109.939584,pmdk
88,105.001153,pmdk
