thread,exec_time,allocator
1,28.961677,r
2,14.469014,r
4,7.633362,r
6,5.281409,r
10,3.494047,r
16,2.654988,r
20,2.486464,r
24,3.136073,r
32,2.670772,r
40,2.294735,r
48,3.905869,r
62,4.357339,r
72,4.990623,r
80,4.995838,r
84,5.279173,r
88,4.806408,r
1,28.557086,r
2,14.425104,r
4,7.613529,r
6,5.275220,r
10,3.489400,r
16,2.657858,r
20,2.501780,r
24,3.132200,r
32,2.660687,r
40,2.317828,r
48,3.928152,r
62,4.281570,r
72,4.977032,r
80,4.787921,r
84,5.568433,r
88,4.858017,r
1,28.549600,r
2,14.437553,r
4,7.617804,r
6,5.278428,r
10,3.490988,r
16,2.663220,r
20,2.486958,r
24,3.146088,r
32,2.685093,r
40,2.306277,r
48,3.944328,r
62,4.444387,r
72,4.413219,r
80,5.285260,r
84,5.470575,r
88,5.072380,r
