thread,ops,allocator
1,22740999,je
2,31924211,je
4,50353201,je
6,87726259,je
10,125025740,je
16,174583659,je
20,213142935,je
24,223469360,je
32,253035254,je
40,283174973,je
48,373766564,je
60,466323634,je
72,510634877,je
80,524934435,je
84,532964701,je
88,538592445,je
1,22744759,je
2,30730747,je
4,51172334,je
6,81033066,je
10,127576426,je
16,180383350,je
20,215188293,je
24,226967840,je
32,249164583,je
40,282997291,je
48,362169654,je
60,465853668,je
72,511918964,je
80,529279541,je
84,533630139,je
88,531489697,je
1,22742635,je
2,26275090,je
4,53262050,je
6,85654691,je
10,133427405,je
16,181156755,je
20,211791785,je
24,225695749,je
32,249273838,je
40,279474067,je
48,369642144,je
60,439066470,je
72,514488379,je
80,529068982,je
84,532191243,je
88,533960012,je
