thread,ops,allocator
1,13389787,mak
2,23245972,mak
4,39988255,mak
6,67275803,mak
10,94532874,mak
16,133179943,mak
20,158395057,mak
24,166503349,mak
32,183316528,mak
40,204425621,mak
48,269704149,mak
60,344586515,mak
72,376127191,mak
80,391672793,mak
84,394942105,mak
88,398491798,mak
1,13412000,mak
2,24754712,mak
4,49208953,mak
6,70487641,mak
10,95000776,mak
16,132819650,mak
20,162276894,mak
24,163800021,mak
32,183281481,mak
40,200252381,mak
48,269651252,mak
60,346061290,mak
72,376629408,mak
80,391452065,mak
84,395257963,mak
88,397810455,mak
1,13420539,mak
2,24526380,mak
4,40867011,mak
6,59402482,mak
10,98554563,mak
16,131618225,mak
20,158206137,mak
24,165126184,mak
32,183224966,mak
40,186117791,mak
48,268211443,mak
60,350144819,mak
72,374772557,mak
80,388875301,mak
84,395492725,mak
88,398357173,mak
