thread,ops,allocator
1,559584,pmdk
2,950442,pmdk
4,1812608,pmdk
6,2779713,pmdk
10,4422126,pmdk
16,6371665,pmdk
20,7748872,pmdk
24,8470907,pmdk
32,9679951,pmdk
40,10679273,pmdk
48,11394284,pmdk
60,10002915,pmdk
72,11808898,pmdk
80,11930893,pmdk
84,11532257,pmdk
88,10072175,pmdk
1,557008,pmdk
2,957807,pmdk
4,1784366,pmdk
6,2678252,pmdk
10,4344725,pmdk
16,6543821,pmdk
20,7932451,pmdk
24,8492909,pmdk
32,9112865,pmdk
40,10754039,pmdk
48,11099371,pmdk
60,12471031,pmdk
72,12269870,pmdk
80,11239978,pmdk
84,11063138,pmdk
88,10673243,pmdk
1,558427,pmdk
2,942156,pmdk
4,1785692,pmdk
6,2822199,pmdk
10,4424373,pmdk
16,6357777,pmdk
20,7625080,pmdk
24,8389706,pmdk
32,9901689,pmdk
40,10763129,pmdk
48,10739791,pmdk
60,10988228,pmdk
72,11337164,pmdk
80,11734404,pmdk
84,11316778,pmdk
88,10869353,pmdk
