thread,ops,allocator
1,20442916,r
2,34121538,r
4,61507803,r
6,82726554,r
10,127746373,r
16,170367660,r
20,206372594,r
24,218104731,r
32,243546013,r
40,269038092,r
48,357279840,r
60,452237107,r
72,489860731,r
80,513189755,r
84,518536789,r
88,516804770,r
1,20117268,r
2,38717012,r
4,59264759,r
6,88390451,r
10,126572392,r
16,174669538,r
20,203729983,r
24,217948223,r
32,241035396,r
40,266309605,r
48,355556712,r
60,449438849,r
72,487940405,r
80,507215924,r
84,516968561,r
88,520436551,r
1,20403555,r
2,38744141,r
4,56833979,r
6,74575485,r
10,128264782,r
16,171422099,r
20,204267853,r
24,215682365,r
32,240381947,r
40,268280941,r
48,359123135,r
60,448483023,r
72,488210272,r
80,509752921,r
84,515159477,r
88,519267204,r
