thread,exec_time,allocator
2,3.850089,mak
4,2.017898,mak
6,1.400136,mak
10,1.151117,mak
16,1.002099,mak
20,1.008153,mak
24,1.016544,mak
32,0.985483,mak
40,1.032279,mak
48,1.207816,mak
60,1.421310,mak
72,1.537748,mak
80,1.592755,mak
84,1.593217,mak
88,1.611861,mak
2,3.990569,mak
4,2.063669,mak
6,1.397988,mak
10,1.123788,mak
16,1.028568,mak
20,0.997998,mak
24,1.029083,mak
32,0.971110,mak
40,1.050422,mak
48,1.217843,mak
60,1.387317,mak
72,1.500165,mak
80,1.590613,mak
84,1.576291,mak
88,1.595247,mak
2,3.826183,mak
4,2.095997,mak
6,1.385849,mak
10,1.134731,mak
16,1.013213,mak
20,1.009565,mak
24,0.993800,mak
32,0.992698,mak
40,1.030651,mak
48,1.208631,mak
60,1.403063,mak
72,1.517238,mak
80,1.584054,mak
84,1.582598,mak
88,1.565993,mak
