thread,exec_time,allocator
2,40.618701,pmdk
4,19.970791,pmdk
6,14.001617,pmdk
10,9.103994,pmdk
16,5.759336,pmdk
20,4.503277,pmdk
24,6.036415,pmdk
32,4.728986,pmdk
40,4.123183,pmdk
48,3.261075,pmdk
60,2.530053,pmdk
72,2.553692,pmdk
80,2.285728,pmdk
84,2.206840,pmdk
88,2.143866,pmdk
2,41.157993,pmdk
4,20.255269,pmdk
6,14.256381,pmdk
10,9.308582,pmdk
16,5.946386,pmdk
20,4.466021,pmdk
24,5.901418,pmdk
32,4.691416,pmdk
40,3.944556,pmdk
48,2.999010,pmdk
60,2.837991,pmdk
72,2.418613,pmdk
80,2.246596,pmdk
84,2.414951,pmdk
88,2.266749,pmdk
2,35.299531,pmdk
4,21.127305,pmdk
6,13.946836,pmdk
10,9.134121,pmdk
16,5.969997,pmdk
20,5.064493,pmdk
24,6.139980,pmdk
32,4.704111,pmdk
40,3.996820,pmdk
48,3.026522,pmdk
60,2.447619,pmdk
72,2.443909,pmdk
80,2.401038,pmdk
84,2.163681,pmdk
88,2.187029,pmdk
