thread,exec_time,allocator
2,3.962584,r
4,2.093299,r
6,1.383910,r
10,0.891570,r
16,0.607554,r
20,0.507395,r
24,0.542831,r
32,0.421314,r
40,0.352503,r
48,0.300736,r
60,0.258073,r
72,0.234572,r
80,0.217515,r
84,0.326956,r
88,0.339359,r
2,3.903399,r
4,2.035253,r
6,1.385060,r
10,0.873487,r
16,0.606814,r
20,0.503974,r
24,0.537859,r
32,0.422330,r
40,0.348965,r
48,0.302580,r
60,0.265363,r
72,0.231354,r
80,0.222234,r
84,0.323869,r
88,0.360113,r
2,3.960238,r
4,2.055151,r
6,1.397099,r
10,0.871580,r
16,0.601290,r
20,0.512589,r
24,0.535998,r
32,0.422304,r
40,0.356355,r
48,0.316195,r
60,0.248526,r
72,0.226663,r
80,0.215880,r
84,0.318095,r
88,0.377379,r
