thread,exec_time,allocator
1,8.296798,lr
2,3.774358,lr
4,1.896884,lr
6,1.315760,lr
10,0.761194,lr
16,0.541158,lr
20,0.477770,lr
24,0.628087,lr
32,0.514459,lr
40,0.513314,lr
48,0.578439,lr
60,0.962935,lr
72,0.696874,lr
80,0.967473,lr
84,2.345138,lr
88,2.991148,lr
1,8.457774,lr
2,3.769204,lr
4,1.898501,lr
6,1.316293,lr
10,0.762523,lr
16,0.536615,lr
20,0.477102,lr
24,0.628476,lr
32,0.515047,lr
40,0.511877,lr
48,0.584036,lr
60,0.994805,lr
72,0.697529,lr
80,1.093346,lr
84,2.093842,lr
88,3.823106,lr
1,8.433010,lr
2,3.774620,lr
4,1.901752,lr
6,1.316944,lr
10,0.763588,lr
16,0.536429,lr
20,0.477364,lr
24,0.628920,lr
32,0.516435,lr
40,0.507637,lr
48,0.583478,lr
60,0.995236,lr
72,0.697722,lr
80,0.963691,lr
84,2.049373,lr
88,2.532658,lr
