thread,exec_time,allocator
1,93.037561,mak
2,37.743733,mak
4,22.147651,mak
6,15.571708,mak
10,13.090428,mak
16,10.545399,mak
20,10.286582,mak
24,10.161089,mak
32,9.233441,mak
40,9.783484,mak
48,12.547409,mak
60,14.843570,mak
72,15.021780,mak
80,19.571745,mak
84,15.162424,mak
88,13.547830,mak
1,101.264965,mak
2,38.445616,mak
4,22.182188,mak
6,15.357281,mak
10,13.034316,mak
16,10.492108,mak
20,10.403353,mak
24,10.164840,mak
32,9.131421,mak
40,9.693137,mak
48,12.590729,mak
60,14.772319,mak
72,14.832652,mak
80,19.165043,mak
84,15.156009,mak
88,13.401117,mak
1,103.494063,mak
2,38.742118,mak
4,22.196336,mak
6,15.407877,mak
10,13.057706,mak
16,10.570320,mak
20,10.351898,mak
24,10.223419,mak
32,9.187544,mak
40,9.840917,mak
48,12.461281,mak
60,14.800823,mak
72,14.835930,mak
80,19.400136,mak
84,15.216254,mak
88,13.659604,mak
